postcode,block_number,latitude,longitude
544326,326,1.39613,103.8881
732180,180,1.43906,103.77835
730180,180,1.43982,103.77878
672634,634,1.38612,103.75833
671635,635,1.38656,103.75721
790452,452,1.39345,103.87467
791451,451,1.39435,103.87405
763347,347,1.42825,103.84273
761335,335,1.43328,103.84444
762335,335,1.43284,103.84433
764333,333,1.43209,103.8462
762333,333,1.43196,103.84538
762336,336,1.43137,103.84433
762334,334,1.43253,103.84571
763335,335,1.43249,103.84437
542326,326,1.39531,103.88801
541326,326,1.39491,103.888
543327,327,1.39609,103.88872
543326,326,1.39572,103.88807
791452,452,1.39355,103.87449
792452,452,1.39359,103.87398
732782,782,1.44747,103.80323
735782,782,1.44805,103.80271
681602,602,1.39757,103.74446
511603,603,1.37656,103.94348
641837,837,1.34341,103.69287
570301,301,1.34936,103.83833
570303,303,1.34977,103.83848
541329,329,1.39619,103.88972
543331,331,1.39558,103.88977
543329,329,1.39622,103.88963
542329,329,1.39576,103.88947
542331,331,1.39567,103.89013
542330,330,1.39656,103.89024
541331,331,1.39595,103.89047
540330,330,1.39685,103.88914
820674,674,1.40721,103.91037
823673,673,1.40722,103.91059
822673,673,1.40698,103.91104
824672,672,1.40759,103.91092
823672,672,1.40744,103.9112
821672,672,1.40641,103.91262
541279,279,1.38577,103.89307
540282,282,1.38545,103.89167
542282,282,1.38486,103.89199
541282,282,1.38529,103.89191
543282,282,1.3851,103.89255
521868,868,1.35545,103.93254
523868,868,1.35586,103.93333
521869,869,1.35502,103.93232
522869,869,1.35486,103.93271
524868,868,1.35567,103.93301
532470,470,1.37893,103.90099
531470,470,1.37905,103.90193
762430,430,1.42099,103.84861
61113,138,1.32794,103.72418
650390,390,1.36535,103.75243
650389,389,1.36535,103.75214
821671,671,1.40606,103.91202
820671,671,1.40566,103.91199
820673,673,1.40655,103.91197
822672,672,1.40665,103.91231
792416,416,1.39049,103.88051
791416,416,1.39061,103.87996
791414,414,1.38958,103.87948
793416,416,1.3898,103.88064
792414,414,1.39002,103.87957
793415,415,1.38932,103.8805
792415,415,1.38884,103.88008
671550,550,1.38911,103.7673
672548,548,1.38942,103.76857
761429,429,1.4221,103.84956
762429,429,1.42172,103.84924
763429,429,1.42182,103.84943
763424,424,1.42326,103.84916
764424,424,1.42283,103.84922
762424,424,1.42325,103.84854
760424,424,1.42306,103.84906
761424,424,1.42323,103.84805
761342,342,1.4306,103.84446
763342,342,1.42992,103.84437
764342,342,1.42992,103.84472
762342,342,1.43025,103.84484
61413,138,1.32846,103.72329
61313,138,1.32844,103.7238
61213,138,1.32842,103.7243
61013,139,1.32806,103.72447
824207,207,1.40095,103.90071
821207,207,1.40029,103.90101
822207,207,1.40033,103.90074
823207,207,1.40065,103.90035
823208,208,1.40094,103.90114
821208,208,1.40146,103.90076
143088,88,1.2962,103.80928
790449,449,1.3937,103.87311
512476,476,1.37512,103.958
791431,431,1.39424,103.87884
532174,174,1.34956,103.88928
531174,174,1.3496,103.88875
539174,174,1.34918,103.88846
533174,174,1.34912,103.88909
530174,174,1.34906,103.88806
733180,180,1.43956,103.77859
763318,318,1.43338,103.84352
761315,315,1.43238,103.84238
762316,316,1.43287,103.8427
761316,316,1.43336,103.84271
313010,10,1.33691,103.85805
311007,7,1.33798,103.85701
529097,498,1.3627,103.95781
400844,844,1.31818,103.90131
400848,848,1.31721,103.90143
400842,842,1.31795,103.90161
400846,846,1.3176,103.90171
540118,118,1.38493,103.90156
540118,118,1.38493,103.90156
763336,336,1.43184,103.84413
764334,334,1.43241,103.84652
761334,334,1.43291,103.8447
763334,334,1.43263,103.84638
761336,336,1.4313,103.84468
761333,333,1.43194,103.84499
610176,176,1.33297,103.72081
613175,175,1.33279,103.72164
543277,277,1.38234,103.89361
641499,499,1.34832,103.72552
672550,550,1.38959,103.76745
671548,548,1.38904,103.76835
670460,460,1.38725,103.77208
670459,459,1.38761,103.77172
670461,461,1.38697,103.77128
602057,57,1.32262,103.73797
600056,56,1.3222,103.73775
600057,57,1.32254,103.73756
600055,55,1.32189,103.73755
683487,487,1.37651,103.73914
681487,487,1.37588,103.73911
683489,489,1.37606,103.73981
682487,487,1.37636,103.73836
680487,487,1.37629,103.73882
684489,489,1.37589,103.74023
682489,489,1.37574,103.73958
683490,490,1.37575,103.74175
682490,490,1.37562,103.74134
681490,490,1.3752,103.74143
762510,510,1.41525,103.84131
641181,181,1.34862,103.70824
531923,923,1.37652,103.88303
531918,918,1.37551,103.88389
641268,268,1.34798,103.70755
642181,181,1.34879,103.70852
643180,180,1.34843,103.70872
642180,180,1.34783,103.70907
641180,180,1.34761,103.70864
541128,128,1.39027,103.90325
541135,135,1.38855,103.90528
270025,25,1.30816,103.78626
563260,260,1.36947,103.83383
642698,698,1.34066,103.7075
640698,698,1.34099,103.70761
600246,246,1.34178,103.74006
472609,609,1.33184,103.91213
640182,182,1.34887,103.70896
681488,488,1.37706,103.73898
684490,490,1.37603,103.74137
680490,490,1.37522,103.74119
683488,488,1.3766,103.73995
684488,488,1.37642,103.7405
532376,376,1.36412,103.89409
537376,376,1.3638,103.89379
531376,376,1.36346,103.89358
514530,530,1.37188,103.95058
512530,530,1.37169,103.9495
511530,530,1.37114,103.94985
510529,529,1.37131,103.95012
821264,264,1.40598,103.89854
821265,265,1.40567,103.89872
512212,212,1.36814,103.96054
761505,505,1.41887,103.84466
763505,505,1.41924,103.84423
764505,505,1.41882,103.84405
762505,505,1.41929,103.84479
764504,504,1.41834,103.84373
790469,469,1.39607,103.87827
791468,468,1.39748,103.8785
791467,467,1.39798,103.87846
792467,467,1.39807,103.87793
793468,468,1.3969,103.87779
790467,467,1.39759,103.87874
794470,470,1.39654,103.87985
792470,470,1.39687,103.87986
650388,388,1.36485,103.75216
650387,387,1.36487,103.75245
543334,334,1.39742,103.8897
541336,336,1.39754,103.88933
542334,334,1.39846,103.88997
541335,335,1.39836,103.88907
641831,831,1.34523,103.69444
641739,739,1.34593,103.70038
763504,504,1.41796,103.84346
762504,504,1.41774,103.84383
761504,504,1.41807,103.84409
533477,477,1.37932,103.90419
533476,476,1.37795,103.90435
531477,477,1.37831,103.90384
532477,477,1.37881,103.90423
532476,476,1.37733,103.90421
531476,476,1.37676,103.90405
530477,477,1.37944,103.90387
537476,476,1.37792,103.90362
